Iteration,F1_Score,Time
1,0.5537,159.4
2,0.5681,154.99
3,0.5398,142.18
4,0.5408,149.58
5,0.5667,131.0
6,0.5695,133.22
7,0.5605,131.8
8,0.5685,134.36
9,0.5663,129.5
10,0.5388,132.87
11,0.5591,133.44
12,0.5623,127.93
13,0.5601,153.23
14,0.5334,141.95
15,0.5659,141.95
16,0.5551,150.5
17,0.5559,144.98
18,0.5178,143.95
19,0.5613,139.89
20,0.5571,142.13
21,0.5639,140.09
22,0.5416,141.06
23,0.5481,140.74
24,0.5663,140.69
25,0.5485,141.93
26,0.5416,139.07
27,0.5621,140.19
28,0.5463,140.31
29,0.5473,151.77
30,0.5619,142.8
31,0.5599,144.86
32,0.5408,150.69
33,0.5537,139.97
34,0.5611,143.9
35,0.5404,135.92
36,0.5627,155.73
37,0.5551,140.43
38,0.5256,140.71
39,0.5497,144.15
40,0.5545,140.37
41,0.5525,143.45
42,0.5701,141.96
43,0.5485,142.91
44,0.5637,140.82
45,0.5611,141.21
46,0.542,140.47
47,0.5673,142.4
48,0.5416,146.3
49,0.5545,141.63
50,0.5473,141.13
51,0.5703,144.89
52,0.5629,142.04
53,0.5531,142.3
54,0.5641,147.52
55,0.5677,139.34
56,0.5374,140.23
57,0.5587,139.37
58,0.5733,143.8
59,0.5599,142.0
60,0.5581,143.38
61,0.5537,143.55
62,0.5623,146.35
63,0.543,144.77
64,0.5661,139.81
65,0.5481,140.6
66,0.5535,142.77
67,0.5453,140.54
68,0.5669,141.8
69,0.5352,143.81
70,0.5743,142.33
71,0.5535,140.38
72,0.5444,143.71
73,0.5631,140.86
74,0.5631,141.57
75,0.5593,139.43
76,0.5513,142.3
77,0.5555,146.56
78,0.5647,143.47
79,0.5573,128.47
80,0.5665,128.34
81,0.5547,129.66
82,0.5414,129.07
83,0.5717,131.36
84,0.538,134.09
85,0.5563,128.83
86,0.5669,129.15
87,0.5619,129.29
88,0.539,126.99
89,0.5567,128.85
90,0.5619,152.03
91,0.5671,143.62
92,0.5477,144.09
93,0.5535,142.5
94,0.5643,141.27
95,0.5517,127.99
96,0.5401,139.98
97,0.5719,132.28
98,0.5529,134.13
99,0.5553,129.42
100,0.5679,138.15
